Category,University,Faculty,Program,2022,2023,2024
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بتطاوين,الاجازة في تصميم الصورة,103.4048,110.0602,102.5274
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بتطاوين,الإجازة في التربية والتعليم,115.59,97.7699,115.255
آداب,جامعة قابس,المعهد العالي لعلوم التمريض بقابس,الإجازة في علوم التمريض-اناث,163.6512,137.2596,148.7782
آداب,جامعة قابس,المعهد العالي لعلوم التمريض بقابس,الإجازة في علوم التمريض-ذكور,141.9783,107.92,148.1362
آداب,جامعة المنستير,كلية الطب بالمنستير,الطب,174.815,167.615,146.92
آداب,جامعة المنستير,كلية طب الأسنان بالمنستير,طب الأسنان,182.91,158.775,
آداب,جامعة المنستير,كلية الصيدلة بالمنستير,الصيدلة,167.305,155.405,140.11
آداب,جامعة المنستير,المدرسة العليا لعلوم وتقنيات الصحة بالمنستير,الإجازة في العلاج الطبيعي,163.8759,150.1852,132.5677
آداب,جامعة المنستير,المدرسة العليا لعلوم وتقنيات الصحة بالمنستير,الإجازة في بدائل الأسنان,144.32,119.895,115.325
آداب,جامعة المنستير,المدرسة العليا لعلوم وتقنيات الصحة بالمنستير,الإجازة في علوم التوليد - قابلة,159.3498,157.2633,116.86
آداب,جامعة المنستير,المعهد العالي للغات بالمكنين,الإجازة في الإنقليزية,106.4198,101.64,100.3966
آداب,جامعة المنستير,المعهد العالي للغات بالمكنين,الإجازة في الفرنسية,71.1284,76.133,75.3232
آداب,جامعة المنستير,المعهد العالي للغات بالمكنين,الإجازة في الإسبانية,112.9279,87.3399,85.1948
آداب,جامعة المنستير,المعهد العالي للغات بالمكنين,الإجازة في الإيطالية,106.9038,103.7616,95.1337
آداب,جامعة المنستير,المعهد العالي للغات بالمكنين,الإجازة في الألمانية,97.6232,84.1969,83.8067
آداب,جامعة المنستير,المعهد العالي للغات بالمكنين,الإجازة في الترجمة,108.815,101.6632,106.449
آداب,جامعة المنستير,المعهد العالي للدراسات التطبيقية في الانسانيات بالمهدية,الإجازة في التربية والتعليم,129.665,108.185,131.385
آداب,جامعة المنستير,المعهد العالي للموضة بالمنستير,الاجازة في تصميم المنتوج,119.805,111.45,108.4587
آداب,جامعة المنستير,المعهد العالي للفنون و الحرف بالمهدية,الإجازة في تصميم الفضاء,128.055,120.9261,121.2524
آداب,جامعة المنستير,المعهد العالي للفنون و الحرف بالمهدية,الاجازة في تصميم المنتوج,116.9954,112.375,109.5413
آداب,جامعة المنستير,المعهد العالي للفنون و الحرف بالمهدية,الاجازة في تصميم الصورة,112.4303,111.76,108.3803
آداب,جامعة القيروان,كلية الآداب والعلوم الإنسانية بالقيروان,الإجازة في العربية,84.5799,87.585,84.7601
آداب,جامعة القيروان,كلية الآداب والعلوم الإنسانية بالقيروان,الإجازة في الإنقليزية,71.7801,70.9115,76.9119
آداب,جامعة القيروان,كلية الآداب والعلوم الإنسانية بالقيروان,الإجازة في الفرنسية,76.098,75.0718,79.497
آداب,جامعة القيروان,كلية الآداب والعلوم الإنسانية بالقيروان,الإجازة في الفلسفة,76.5119,86.955,82.376
آداب,جامعة القيروان,كلية الآداب والعلوم الإنسانية بالقيروان,الإجازة في الترجمة,73.6203,72.8028,74.8178
آداب,جامعة القيروان,كلية الآداب والعلوم الإنسانية بالقيروان,الإجازة في الآثار,82.5525,82.3587,83.5983
آداب,جامعة القيروان,المعهد العالي للفنون والحرف بالقيروان,الإجازة في الفنون التشكيلية,80.5633,76.3132,75.8365
